,throughput_tok_s,throughput_tok_s,throughput_tok_s,throughput_tok_s,avg_power_w,avg_power_w,energy_per_request_j,energy_per_request_j,energy_per_1k_tokens_j,energy_per_1k_tokens_j,avg_gpu_util_pct,avg_gpu_util_pct,peak_memory_gb,peak_memory_gb
,mean,std,min,max,mean,std,mean,std,mean,std,mean,std,mean,max
batch_size,,,,,,,,,,,,,,
1,18.97,0.13,18.61,19.06,131.02,0.86,1768.3,11.77,6907.42,45.96,45.29,0.33,8.38,8.38
2,37.72,0.24,37.43,37.99,137.7,0.37,934.55,4.17,3650.58,16.31,47.44,0.34,8.49,8.49
4,75.55,1.75,70.79,76.57,146.0,3.15,494.82,10.17,1932.9,39.71,50.89,1.23,8.65,8.65
8,150.35,1.05,148.89,151.98,166.63,0.54,283.74,1.5,1108.35,5.84,50.42,0.36,8.99,8.99
16,296.4,11.14,266.27,302.99,237.64,5.3,205.37,3.73,802.23,14.56,76.78,2.68,9.69,9.69
32,577.45,3.78,570.27,582.5,226.59,1.7,100.46,0.47,392.41,1.84,63.62,0.53,11.41,11.41
64,1052.54,3.78,1047.25,1060.4,312.02,3.28,75.89,0.71,296.44,2.77,90.99,0.68,14.64,14.64
